Name,Link,Artifact Number
"
",https://www.historymuseum.ca/collections/artifact/2365173/?q=Ottawa&page_num=1&item_num=6&media_irn=100950,2365173
"
",https://www.historymuseum.ca/collections/artifact/2365171/?q=Ottawa&page_num=1&item_num=7&media_irn=100938,2365171
"
",https://www.historymuseum.ca/collections/artifact/2365141/?q=Ottawa&page_num=1&item_num=8&media_irn=100860,2365141
"
",https://www.historymuseum.ca/collections/artifact/2365127/?q=Ottawa&page_num=1&item_num=9&media_irn=100866,2365127
"
",https://www.historymuseum.ca/collections/artifact/2365123/?q=Ottawa&page_num=1&item_num=10&media_irn=100863,2365123
"
",https://www.historymuseum.ca/collections/artifact/2365122/?q=Ottawa&page_num=1&item_num=11&media_irn=100884,2365122
"
",https://www.historymuseum.ca/collections/artifact/2365121/?q=Ottawa&page_num=1&item_num=12&media_irn=100887,2365121
"
",https://www.historymuseum.ca/collections/artifact/2365120/?q=Ottawa&page_num=1&item_num=13&media_irn=100878,2365120
"
",https://www.historymuseum.ca/collections/artifact/2365115/?q=Ottawa&page_num=1&item_num=14&media_irn=391172,2365115
"
",https://www.historymuseum.ca/collections/artifact/2365103/?q=Ottawa&page_num=1&item_num=15&media_irn=391133,2365103
"
",https://www.historymuseum.ca/collections/artifact/2365102/?q=Ottawa&page_num=1&item_num=16&media_irn=391127,2365102
"
",https://www.historymuseum.ca/collections/artifact/2365101/?q=Ottawa&page_num=1&item_num=17&media_irn=391130,2365101
"
",https://www.historymuseum.ca/collections/artifact/2365100/?q=Ottawa&page_num=1&item_num=18&media_irn=391154,2365100
"
",https://www.historymuseum.ca/collections/artifact/2365092/?q=Ottawa&page_num=1&item_num=19&media_irn=391148,2365092
"
",https://www.historymuseum.ca/collections/artifact/2365089/?q=Ottawa&page_num=1&item_num=20&media_irn=391100,2365089
"
",https://www.historymuseum.ca/collections/artifact/2365087/?q=Ottawa&page_num=1&item_num=21&media_irn=391103,2365087
"
",https://www.historymuseum.ca/collections/artifact/2365086/?q=Ottawa&page_num=1&item_num=22&media_irn=391163,2365086
"
",https://www.historymuseum.ca/collections/artifact/2365082/?q=Ottawa&page_num=1&item_num=23&media_irn=391097,2365082
"
",https://www.historymuseum.ca/collections/artifact/2359072/?q=Ottawa&page_num=1&item_num=24&media_irn=5427798,2359072
"
",https://www.historymuseum.ca/collections/artifact/2359071/?q=Ottawa&page_num=1&item_num=25&media_irn=5418982,2359071
"
",https://www.historymuseum.ca/collections/artifact/2359070/?q=Ottawa&page_num=1&item_num=26&media_irn=5418980,2359070
"
",https://www.historymuseum.ca/collections/artifact/2359061/?q=Ottawa&page_num=1&item_num=27&media_irn=5418976,2359061
"
",https://www.historymuseum.ca/collections/artifact/2359047/?q=Ottawa&page_num=1&item_num=28&media_irn=5427792,2359047
"
",https://www.historymuseum.ca/collections/artifact/2359044/?q=Ottawa&page_num=1&item_num=29&media_irn=5418992,2359044
"
",https://www.historymuseum.ca/collections/artifact/2359043/?q=Ottawa&page_num=1&item_num=30&media_irn=5418988,2359043
